Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@YvesMulkers,RT @hyounpark: Today's Influencer updates in #legaltech #FinOps #BI #Mobility &amp; more https://t.co/I7pkvceTF3 #data17 #machinelearning,http://twitter.com/YvesMulkers/status/918441086758064128,"October 12, 2017 at 07:39AM"
@stkhobbit,First time attendee at Tableau's #data17 conference.  Having an awesome time!!  Don't want it to end ... ï˜“,http://twitter.com/stkhobbit/status/918441309131628544,"October 12, 2017 at 07:40AM"
@phillymark,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/phillymark/status/918441612824412162,"October 12, 2017 at 07:41AM"
@stkhobbit,But I am looking forward to bringing back what I've learned at #data17 to my team back on the East Coast that couldn't be here this week.,http://twitter.com/stkhobbit/status/918441759679512578,"October 12, 2017 at 07:42AM"
@LizKiehne,RT @ClouderaEvents: Visit our great partners @ #data17 for your chance to win big with @Cloudera @Trifacta @dataiku @Informaticaâ€_ https://t.co/65QLJ0IFV1,http://twitter.com/LizKiehne/status/918442077096173568,"October 12, 2017 at 07:43AM"
@SvenMunk_Infa,"RT @Informatica: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/OwFJF4Rk7q    #Data17 https://t.co/03lvOtv2WN",http://twitter.com/SvenMunk_Infa/status/918442453170118656,"October 12, 2017 at 07:45AM"
@gd_bshimmin,Some thoughts on @Tableau 's new API and how it calls for a more active role for analytics in bus:  https://t.co/zYfjCtiTdQ #tc17 #data17,http://twitter.com/gd_bshimmin/status/918442768292184064,"October 12, 2017 at 07:46AM"
@peregrinogris,RT @JusteenGales: The learning continues #data17 #tc17 https://t.co/FMgK4lk68X,http://twitter.com/peregrinogris/status/918442927755538434,"October 12, 2017 at 07:47AM"
@alevizio,RT @JusteenGales: The learning continues #data17 #tc17 https://t.co/FMgK4lk68X,http://twitter.com/alevizio/status/918443046437572609,"October 12, 2017 at 07:47AM"
@elidukeKC,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/elidukeKC/status/918443590493392897,"October 12, 2017 at 07:49AM"
@YvesMulkers,RT @datachloe: Fun community meetup time! #data17 #WeAreDataPeople https://t.co/7YcweKbCWm,http://twitter.com/YvesMulkers/status/918443865018978304,"October 12, 2017 at 07:50AM"
